"NZPOCS STATUS (LOINC 2.73)",NZ_SHORT_NAME,Consumer_Name,LOINC_LONG_NAME,CODE,SOURCE_TYPE,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,REMARKS,KEYWORDS,LOINC_STATUS,EFFECTIVE_DATE,END_DATE,MERGE_TO_CODE,MERGE_TO_SOURCE_TYPE,NZ_ ORDERS,"NZ_OBSERVATION",Haematology,"MicrobiologyABX",Microbiology Gyn/Cyto,Biochemistry,Immunology,Serology / Virology,Toxicology,"Histology(Bowel Screening)",EXTERNAL_COPYRIGHT_NOTICE,LOINC_SHORTNAME,HPAC_CODE,HPAC_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Anti-A (IgM) Titre,"A IgM antibody, Blood",A IgM Ab [Titer] in Serum or Plasma,50762-4,LN,A Ab.IgM,Titr,Pt,Ser/Plas,Qn,,, Anti-A IgM Ab antibody (titre),ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,A IgM Titr SerPl,,IgM Anti-A Titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Anti-A IgG (titre),"A IgG antibody, Blood",A IgG Ab [Titer] in Serum or Plasma,50761-6,LN,A Ab.IgG,Titr,Pt,Ser/Plas,Qn,,, Anti-A IgG Ab antibody (titre),ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,A IgG Titr SerPl,,IgG Anti-A Titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Anti-B (IgM) Titre,"B IgM antibody, Blood",B IgM Ab [Titer] in Serum or Plasma,50763-2,LN,B Ab.IgM,Titr,Pt,Ser/Plas,Qn,,, Anti-A IgM Ab antibody (titre),ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,B IgM Titr SerPl,,IgM Anti-B Titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Anti-B IgG (Titre),"B IgG antibody, Blood",B IgG Ab [Titer] in Serum or Plasma,50764-0,LN,B Ab.IgG,Titr,Pt,Ser/Plas,Qn,,, Anti-B IgG Ab antibody (titre),ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,B IgG Titr SerPl,,IgG Anti-B Titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antibiotic XXX suscep (MIC),Susceptibility to Other antibiotic,Other Antibiotic [Susceptibility] by Minimum inhibitory concentration (MIC),21070-8,LN,Antibiotic XXX,Susc,Pt,Isolate,OrdQn,MIC,,Antibiotic susceptibility sensitivity resistance,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Other Antibiotic Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antibiotic XXX suscep (qual),Susceptibility to Other antibiotic,Other Antibiotic [Susceptibility],23658-8,LN,Antibiotic XXX,Susc,Pt,Isolate,OrdQn,,,Antibiotic susceptibility sensitivity resistance,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Other Antibiotic Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antimony urine,"Antimony, Urine",Antimony [Mass/​volume] in Urine,5581-4,LN,Antimony,MCnc,Pt,Urine,Qn,,,antimony urine,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Antimony Ur-mCnc,,"Antimony, urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antinuclear Ab,"Nuclear antibody, Blood",Nuclear Ab [Units/volume] in Serum,27200-5,LN,Nuclear Ab,ACnc,Pt,Ser,Qn,,,antinuclear Ab antibody,ACTIVE,,,,,,Yes,,,,,Yes,,,,,ANA Ser-aCnc,D16,"Auto-immune disease, anti-nuclear antibody titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antinuclear Ab (pattern),"Nuclear Ab pattern, Blood",Nuclear Ab pattern [interpretation] in Serum,14611-8,LN,Nuclear Ab pattern,Imp,Pt,Ser,Nom,,,antinuclear Ab antibody pattern,ACTIVE,,,,,,Yes,,,,,Yes,,,,,ANA Pat Ser-Imp,D15,"Auto-immune disease, anti-nuclear antibody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antinuclear Ab (qual),"Nuclear antibody, Blood",Nuclear Ab [Presence] in Serum,8061-4,LN,Nuclear Ab,PrThr,Pt,Ser,Ord,,,antinuclear Ab antibody qualitative screen,ACTIVE,1-Apr-17,,,,Yes,Yes,,,,,Yes,,,,,ANA Ser Ql,D15,"Auto-immune disease, anti-nuclear antibody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antinuclear Ab (titre),"Nuclear antibody, Blood",Nuclear Ab [Titer] in Serum,29953-7,LN,Nuclear Ab,Titr,Pt,Ser,Qn,,,antinuclear Ab antibody titre,ACTIVE,,,,,,Yes,,,,,Yes,,,,,ANA Titr Ser,D16,"Auto-immune disease, anti-nuclear antibody titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antithrombin,"Antithrombin actual/normal, Blood",Antithrombin actual/​normal in Platelet poor plasma by Chromogenic method,27811-9,LN,Antithrombin actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,Reports in %,antithrombin,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,AT III Act/Nor PPP Chro,,  Antithrombin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antithrombin - units/volume,"Antithrombin, Blood",Antithrombin [Units/​volume] in Platelet poor plasma by Chromogenic method,3174-0,LN,Antithrombin,ACnc,Pt,PPP,Qn,Chromo,Reports in U/mL,antithrombin,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,AT III PPP Chro-aCnc,,  Antithrombin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Antithrombin Ag,"Antithrombin antigen activity, Blood",Antithrombin Ag actual/normal in Platelet poor plasma by Immunoassay,27812-7,LN,Antithrombin Ag actual/Normal,RelMCnc,Pt,PPP,Qn,IA,Report in %,antithrombin antigen immunological,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,AT III Ag Act/Nor PPP IA,,Anti-thrombin assay (immunological),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,APCR,"Activated Protein C Resistance, Blood",Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,13590-5,LN,Activated protein C resistance,TRrto,Pt,PPP,Qn,Coag,,APC resistance APCR activated protein C,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,aPCR PPP,,  APC Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Apolipoprotein A1,"Apolipoprotein A-I, Blood",Apolipoprotein A-I [Mass/​volume] in Serum or Plasma,1869-7,LN,Apolipoprotein A-I,MCnc,Pt,Ser/Plas,Qn,,,apolipoprotein APO-A1,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Apo A-I SerPl-mCnc,,APO-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Apolipoprotein B,"Apolipoprotein B, Blood",Apolipoprotein B [Mass/​volume] in Serum or Plasma,1884-6,LN,Apolipoprotein B,MCnc,Pt,Ser/Plas,Qn,,,apolipoprotein APO-B,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Apo B SerPl-mCnc,,APO-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Appearance body fluid,"Appearance, Body Fluid",Appearance of Body fluid,9335-1,LN,Appearance,Aper,Pt,Body fld,Nom,,,appearance body fluid,ACTIVE,,,,,Yes,Yes,,,Yes,,,,,,,Appearance Fld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Appearance CSF,"Appearance, Spinal Fluid",Appearance of Cerebral spinal fluid,10333-3,LN,Appearance,Aper,Pt,CSF,Nom,,,appearance CSF cerebrospinal fluid,ACTIVE,,,,,,Yes,,,Yes,Yes,,,,,,Appearance CSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Appearance semen,"Character, Semen",Character of Semen,13359-5,LN,Character,Aper,Pt,Semen,Nom,,,appearance semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Character Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Appearance Serum (Post Tx Rxn),"Appearance After Transfusion Reaction, Blood",Appearance of Serum--after transfusion reaction,46273-9,LN,Appearance^post transfusion reaction,Aper,Pt,Ser,Nom,,,appearance serum post transfusion reaction,ACTIVE,1-Apr-15,,,,,Yes,Yes,,,,,,,,,Appearance p transf rx Ser,,Transfusion Reaction Investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Appearance Urine (Post Tx Rxn),"Appearance After Transfusion Reaction, Urine",Appearance of Urine--after transfusion reaction,46272-1,LN,Appearance^post transfusion reaction,Aper,Pt,Urine,Nom,,,appearance urine post transfuion reaction,ACTIVE,1-Apr-15,,,,,Yes,Yes,,,,,,,,,Appearance p transf rx Ur,,Transfusion Reaction Investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Apramycin suscep (qual),Susceptibility to Apramycin,Apramycin [Susceptibility],23659-6,LN,Apramycin,Susc,Pt,Isolate,OrdQn,,,Apramycin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Apramycin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,APTT,"aPTT, Blood",aPTT in Platelet poor plasma by Coagulation assay,14979-9,LN,Coagulation surface induced,Time,Pt,PPP,Qn,Coag,,APTT PTT activated partial thromboplastin time,ACTIVE,,,,,Yes,Yes,Yes,,,,,,,,,aPTT PPP,H07,Partial thrombosplastin clotting time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,APTT (+ N plasma),"aPTT.factor Substitution immediately after Addition of Normal Plasma, Blood",aPTT.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,5946-9,LN,Coagulation surface induced.factor substitution^immediately after addition of normal plasma,Time,Pt,PPP,Qn,Coag,,APTT PTT activated partial thromboplastin time normal plasma,ACTIVE,,,,,,Yes,Yes,,,,,,,,,aPTT imm NP PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"APTT (+ N plasma, control)","aPTT.factor Substitution immediately after Addition of Normal Plasma, control Blood",aPTT.factor substitution in Control Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,5949-3,LN,Coagulation surface induced.factor substitution^immediately after addition of normal plasma,Time,Pt,PPP^Control,Qn,Coag,,APTT PTT activated partial thromboplastin time normal plasma control,ACTIVE,,,,,,Yes,Yes,,,,,,,,,aPTT imm NP Cont PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,APTT (+ Polybrene),APTT (+ Polybrene),,XNZ5412,NZ,Coagulation surface induced.factor substitution^immediately after addition of polybrene,Time,Pt,PPP,Qn,Coag,,APTT PTT activated partial thromboplastin time polybrene,PROPOSED,1-Apr-17,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,APTT (control),"aPTT, control Blood",aPTT in Control Platelet poor plasma by Coagulation assay,13488-2,LN,Coagulation surface induced,Time,Pt,PPP^control,Qn,Coag,,APTT PTT activated partial thromboplastin time control,ACTIVE,,,,,,Yes,Yes,,,,,,,,,aPTT Cont PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,aPTT.lupus sensitive,"aPTT.lupus Sensitive, Blood",aPTT.lupus sensitive (LA screen),34571-0,LN,Coagulation surface induced.lupus sensitive ,Time,Pt,PPP,Qn,Coag,,APTT PTT activated partial thromboplastin time lupus sensitive,ACTIVE,1-Apr-17,,,,Yes,Yes,,,,,,,,,,Screen aPTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Arbekacin suscep (qual),Susceptibility to Arbekacin,Arbekacin [Susceptibility],32373-3,LN,Arbekacin,Susc,Pt,Isolate,OrdQn,,,Arbekacin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Arbekacin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Arbovirus Ab (titre),"Arbovirus NOS antibody, Blood",Arbovirus NOS Ab [Titer] in Serum,43092-6,LN,Arbovirus NOS Ab,Titr,Pt,Ser,Qn,,,arborvirus Ab antibody titre,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,Yes,,,,Arbovirus NOS Ab Titr Ser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Arginine Vasopressin,"Vasopressin, Blood",Vasopressin [Moles/​volume] in Plasma,14949-2,LN,Vasopressin,SCnc,Pt,Plas,Qn,,,arginine vasopressin anti diuretic hormone ADH,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Vasopressin Plas-sCnc,,Arginine Vasopressin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Arsenic urine,"Arsenic, Urine",Arsenic [Moles/​volume] in Urine,15115-9,LN,Arsenic,SCnc,Pt,Urine,Qn,,,arsenic urine,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Arsenic Ur-sCnc,,"Arsenic, Urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Ascorbate,"Ascorbate, Blood",Ascorbate [Moles/​volume] in Serum or Plasma,14622-5,LN,Ascorbate,SCnc,Pt,Ser/Plas,Qn,,,ascorbate,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Vit C SerPl-sCnc,,"Ascorbate, plasma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aspergillus Ab (precipitins),"Aspergillus Sp antibody, Blood",Aspergillus sp Ab [Presence] in Serum by Immune diffusion (ID),5052-6,LN,Aspergillus sp Ab,PrThr,Pt,Ser,Ord,Immune diffusion,,aspergillus Ab antibody precipitins ,ACTIVE,1-Apr-17,,,,Yes,Yes,,,Yes,,,,,,,Aspergillus Ab Ser Ql ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aspergillus culture,"Aspergillus Sp culture, Specimen",Aspergillus sp identified in Unspecified specimen by Organism specific culture,43979-4,LN,Aspergillus sp identified,Prid,Pt,XXX,Nom,Organism specific culture,,aspergillus culture,ACTIVE,1-Apr-15,,,,Yes,Yes,,,Yes,,,,,,,Aspergillus XXX Cult,,Aspergillus culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aspergillus DNA (NAAT),"Aspergillus Sp, Specimen",Aspergillus sp DNA [Presence] in Unspecified specimen by NAA with probe detection,49863-4,LN,Aspergillus sp DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,aspergillus DNA PCR NAAT,ACTIVE,1-Apr-15,,,,Yes,Yes,,,Yes,,,Yes,,,,Aspergillus DNA XXX Ql NAA+probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aspergillus IgE,Aspergillus Sp allergy test,Aspergillus sp IgE Ab [Units/​volume] in Serum,7106-8,LN,Aspergillus sp Ab.IgE,ACnc,Pt,Ser,Qn,,,aspergillus Ab antibody  IgE,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,Yes,,,,,Aspergillus IgE Qn,,Aspergillus IgE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aspergillus precipitins,"Aspergillus Sp antibody, Blood",Aspergillus sp Ab [Presence] in Serum,7808-9,LN,Aspergillus sp Ab,PrThr,Pt,Ser,Ord,,,aspergillus precipitins antibody Ab,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,Yes,,,,Aspergillus Ab Ser Ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,AST,"Aspartate Aminotransferase (AST; SGOT), Blood",Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1920-8,LN,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,,,AST aspartate transaminase,ACTIVE,,,,,Yes,Yes,,,,Yes,,,,,,AST SerPl-cCnc,BZ2,"Asparate amino transferase, serum - AST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Astrovirus RNA (NAAT),"Astrovirus, Specimen",Astrovirus RNA [Presence] in Unspecified specimen by NAA with probe detection,69938-9,LN,Astrovirus RNA ,Threshold ,Pt ,XXX ,Ord ,Probe.amp.tar,,astrovirus RNA NAAT PCR,ACTIVE,1-Apr-17,,,,Yes,Yes,,,Yes,,,,,,,HAstV RNA XXX Ql NAA+probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Atazanavir suscep (qual),Susceptibility to Atazanavir,Atazanavir [Susceptibility],41993-7,LN,Atazanavir,Susc,Pt,Isolate,OrdQn,,,Atazanavir,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Atazanavir Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Atrial Naturietic Peptide,"Atrial Natriuretic factor, Blood",Atrial natriuretic factor [Moles/​volume] in Plasma,33783-2,LN,Atrial natriuretic factor,SCnc,Pt,Plas,Qn,,,atrial naturietic peptide,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,ANF Plas-sCnc,,Atrial Naturietic Peptide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Atropine ,"Atropine, Urine",Atropine [Mass/​volume] in Urine,10840-7,LN,Atropine,MCnc,Pt,Urine,Qn,,,atropine,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,Atropine Ur-mCnc,,Atropine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Avilamycin suscep (MIC),Susceptibility to Avilamycin,Avilamycin [Susceptibility] by Minimum inhibitory concentration (MIC),35755-8,LN,Avilamycin,Susc,Pt,Isolate,OrdQn,MIC,,Avilamycin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Avilamycin Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Avilamycin suscep (qual),Susceptibility to Avilamycin,Avilamycin [Susceptibility],35756-6,LN,Avilamycin,Susc,Pt,Isolate,OrdQn,,,Avilamycin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Avilamycin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Azithromycin suscep (MIC),Susceptibility to Azithromycin,Azithromycin [Susceptibility] by Minimum inhibitory concentration (MIC),36-4,LN,Azithromycin,Susc,Pt,Isolate,OrdQn,MIC,,Azithromycin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Azithromycin Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Azithromycin suscep (qual),Susceptibility to Azithromycin,Azithromycin [Susceptibility],18866-4,LN,Azithromycin,Susc,Pt,Isolate,OrdQn,,,Azithromycin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Azithromycin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Azlocillin suscep (MIC),Susceptibility to Azlocillin,Azlocillin [Susceptibility] by Minimum inhibitory concentration (MIC),40-6,LN,Azlocillin,Susc,Pt,Isolate,OrdQn,MIC,,Azlocillin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Azlocillin Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Azlocillin suscep (qual),Susceptibility to Azlocillin,Azlocillin [Susceptibility],18867-2,LN,Azlocillin,Susc,Pt,Isolate,OrdQn,,,Azlocillin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Azlocillin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aztreonam Clav suscep (MIC),Susceptibility to Aztreonam+Clavulanate,Aztreonam+Clavulanate [Susceptibility] by Minimum inhibitory concentration (MIC),41662-8,LN,Aztreonam+Clavulanate,Susc,Pt,Isolate,OrdQn,MIC,,Aztreonam Clavulanate,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Aztreonam+Clav Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aztreonam Clav suscep (qual),Susceptibility to Aztreonam+Clavulanate,Aztreonam+Clavulanate [Susceptibility],41727-9,LN,Aztreonam+Clavulanate,Susc,Pt,Isolate,OrdQn,,,Aztreonam Clavulanate,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Aztreonam+Clav Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aztreonam suscep (MIC),Susceptibility to Aztreonam,Aztreonam [Susceptibility] by Minimum inhibitory concentration (MIC),44-8,LN,Aztreonam,Susc,Pt,Isolate,OrdQn,MIC,,Aztreonam,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Aztreonam Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Aztreonam suscep (qual),Susceptibility to Aztreonam,Aztreonam [Susceptibility],18868-0,LN,Aztreonam,Susc,Pt,Isolate,OrdQn,,,Aztreonam,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Aztreonam Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,B. pertussis DNA (NAAT),"Bordetella pertussis, Specimen",Bordetella pertussis DNA [Presence] in Unspecified specimen by NAA with probe detection,23826-1,LN,Bordetella pertussis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,Bordetella pertussis DNA NAAT PCR,ACTIVE,,,,,Yes,Yes,,,Yes,,,,,,,B pert DNA XXX Ql NAA+probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,B. pertussis toxin IgG,"Bordetella pertussis.pertussis toxin IgG antibody, Blood",Bordetella pertussis.pertussis toxin IgG Ab [Units/volume] in Serum,23831-1,LN,Bordetella pertussis.toxin Ab.IgG ,ACnc,Pt,Ser,Qn,,,Bordetella pertussis toxin IgG Ab antibody,ACTIVE,1-Apr-17,,,,Yes,Yes,,,,,,Yes,,,,B pert.PT IgG Ser-aCnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Bacampicillin suscep (MIC),Susceptibility to Bacampicillin,Bacampicillin [Susceptibility] by Minimum inhibitory concentration (MIC),48-9,LN,Bacampicillin,Susc,Pt,Isolate,OrdQn,MIC,,Bacampicillin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Bacampicillin Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Bacampicillin suscep (qual),Susceptibility to Bacampicillin,Bacampicillin [Susceptibility],18869-8,LN,Bacampicillin,Susc,Pt,Isolate,OrdQn,,,Bacampicillin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Bacampicillin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Bacitracin suscep (MIC),Susceptibility to Bacitracin,Bacitracin [Susceptibility] by Minimum inhibitory concentration (MIC),6827-0,LN,Bacitracin,Susc,Pt,Isolate,OrdQn,MIC,,Bacitracin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Bacitracin Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Bacitracin suscep (qual),Susceptibility to Bacitracin,Bacitracin [Susceptibility],18870-6,LN,Bacitracin,Susc,Pt,Isolate,OrdQn,,,Bacitracin,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Bacitracin Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Bacteria  (culture),"Culture, Specimen",Bacteria identified in Unspecified specimen by Culture,6463-4,LN,Bacteria identified,Prid,Pt,XXX,Nom,Culture,Bronchial (culture):                                 Specimen type site: =Table B1 BRO Bronchial^Table B2 e.g. BRONC Broncus/Bronchial^Table B3 e.g. R Right                                                               Specimen collection/description e.g. brush,bronchial brush culture,ACTIVE,1-Apr-15,,,,Yes,Yes,,,Yes,,,,,,,Bacteria XXX Cult,,Bronchial brush - microscopy & culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
